r,g,d,w,l,td,tw,tl,l_,e,a,s,t,p
-1,770,10,0,0,736,13,21,371440389.15634155,0.01,1353,86386,2023-04-27T19:48:18.770203,0
-1,780,10,0,0,746,13,21,375170052.0515442,0.01,909,87295,2023-04-27T19:48:23.582543,0
-1,790,10,0,0,756,13,21,370025374.8893738,0.01,1406,88701,2023-04-27T19:48:28.344371,0
-1,800,10,0,0,766,13,21,367587289.81018066,0.01,1520,90221,2023-04-27T19:48:33.099009,0
-1,810,10,0,0,776,13,21,370199449.0623474,0.01,1294,91515,2023-04-27T19:48:37.895330,0
-1,820,10,0,0,786,13,21,373028910.1600647,0.01,1237,92752,2023-04-27T19:48:42.754945,0
-20.8,830,8,0,2,794,13,23,370607690.8111572,0.01,1073,93825,2023-04-27T19:48:47.426700,0
-10.9,840,9,0,1,803,13,24,367105972.7668762,0.01,1063,94888,2023-04-27T19:48:52.241262,0
-10.9,850,9,0,1,812,13,25,356302638.05389404,0.01,1534,96422,2023-04-27T19:48:57.021652,0
-10.9,860,9,0,1,821,13,26,367592885.4942322,0.01,1285,97707,2023-04-27T19:49:01.849608,0
-1,870,10,0,0,831,13,26,366640546.3218689,0.01,1292,98999,2023-04-27T19:49:06.568730,0
-1,880,10,0,0,841,13,26,360465676.7845154,0.01,1231,80184,2023-04-27T19:49:11.349932,0
-10.9,890,9,0,1,850,13,27,354968619.34661865,0.01,1090,81274,2023-04-27T19:49:16.068138,0
-1,900,10,0,0,860,13,27,353570082.1876526,0.01,1405,82679,2023-04-27T19:49:20.788219,0
-1,910,10,0,0,870,13,27,340434951.78222656,0.9998334999999905,1666,84345,2023-04-27T19:49:24.581201,0
-1,920,10,0,0,880,13,27,343621704.57839966,0.9331668333333238,1596,85941,2023-04-27T19:49:28.454054,0
-1,930,10,0,0,890,13,27,340453445.9114075,0.8665001666666572,1645,87586,2023-04-27T19:49:32.388201,0
-1,940,10,0,0,900,13,27,337154798.5076904,0.7998334999999905,1685,89271,2023-04-27T19:49:36.526696,0
-10.9,950,9,0,1,909,13,28,346374871.73080444,0.7331708293333241,1464,90735,2023-04-27T19:49:40.869465,0
-1,960,10,0,0,919,13,28,337174518.1083679,0.6665001666666572,1478,92213,2023-04-27T19:49:44.975376,0
-1,970,10,0,0,929,13,28,342018172.7409363,0.5998334999999905,1543,93756,2023-04-27T19:49:49.271554,0
-10.9,980,9,0,1,938,13,29,339611127.3765564,0.5331794873333245,1395,95151,2023-04-27T19:49:53.487858,0
-1,990,10,0,0,948,13,29,341439988.61312866,0.46650016666665717,1361,96512,2023-04-27T19:49:57.807152,0
-1,1000,10,0,0,958,13,29,339897301.197052,0.3998334999999905,1356,97868,2023-04-27T19:50:02.190981,0
-10.9,1010,9,0,1,967,13,30,339285378.4561157,0.3331764903333244,1375,99243,2023-04-27T19:50:06.610290,0
-1,1020,10,0,0,977,13,30,337650799.75128174,0.2665001666666572,1314,80446,2023-04-27T19:50:11.171986,0
-1,1030,10,0,0,987,13,30,336515650.74920654,0.19983350000000433,1434,81880,2023-04-27T19:50:15.781024,0
-1,1040,10,0,0,997,13,30,331949462.890625,0.13316683333333768,1476,83356,2023-04-27T19:50:20.405816,0
-1,1050,10,0,0,1007,13,30,333304855.82351685,0.06650016666666408,1165,84521,2023-04-27T19:50:25.187061,0
-1,1060,10,0,0,1017,13,30,330292148.5900879,0,1463,85984,2023-04-27T19:50:29.999989,0
-1,1070,10,0,0,1027,13,30,332518999.5765686,0,1221,87205,2023-04-27T19:50:34.750241,0
-1,1080,10,0,0,1037,13,30,337200505.73349,0,918,88123,2023-04-27T19:50:39.773366,0
-1,1090,10,0,0,1047,13,30,330206069.94628906,0,1170,89293,2023-04-27T19:50:44.799304,0
-1,1100,10,0,0,1057,13,30,332870860.0997925,0,1035,90328,2023-04-27T19:50:49.967624,0
-1,1110,10,0,0,1067,13,30,331444368.36242676,0,1166,91494,2023-04-27T19:50:54.657651,0
-1,1120,10,0,0,1077,13,30,329244852.06604004,0,1150,92644,2023-04-27T19:50:59.409055,0
-1,1130,10,0,0,1087,13,30,322915984.39216614,0,1264,93908,2023-04-27T19:51:04.129584,0
-10.9,1140,9,0,1,1096,13,31,324668104.6485901,0,1432,95340,2023-04-27T19:51:08.875065,0
-1,1150,10,0,0,1106,13,31,323755680.3226471,0,1229,96569,2023-04-27T19:51:13.631076,0
-1,1160,10,0,0,1116,13,31,319862172.6036072,0,1136,97705,2023-04-27T19:51:18.348560,0
-1,1170,10,0,0,1126,13,31,315359655.6186676,0,894,98599,2023-04-27T19:51:23.022588,0
-1,1180,10,0,0,1136,13,31,319439672.2316742,0,1156,99755,2023-04-27T19:51:27.807692,0
-1,1190,10,0,0,1146,13,31,316251671.3142395,0,1358,80891,2023-04-27T19:51:32.814114,0
-1,1200,10,0,0,1156,13,31,319629691.83921814,0,1149,82040,2023-04-27T19:51:37.481222,0
-1,1210,10,0,0,1166,13,31,310933996.4389801,0.9998334999999905,1680,83720,2023-04-27T19:51:41.274852,0
-1,1220,10,0,0,1176,13,31,312318264.24598694,0.9331668333333238,1644,85364,2023-04-27T19:51:45.112617,0
-1,1230,10,0,0,1186,13,31,311261409.5211029,0.8665001666666572,1624,86988,2023-04-27T19:51:49.032214,0
-1,1240,10,0,0,1196,13,31,310975762.6056671,0.7998334999999905,1601,88589,2023-04-27T19:51:52.987320,0
-10.9,1250,9,0,1,1205,13,32,313444759.84573364,0.7331741593333243,1518,90107,2023-04-27T19:51:58.083679,0
-10.9,1260,9,0,1,1214,13,33,316496138.5726929,0.6665041626666575,1438,91545,2023-04-27T19:52:03.428237,0
-10.9,1270,9,0,1,1223,13,34,312893630.2661896,0.5998341659999905,1564,93109,2023-04-27T19:52:08.491022,0
-1,1280,10,0,0,1233,13,34,314195672.27363586,0.5331668333333238,1519,94628,2023-04-27T19:52:13.664995,0
-1,1290,10,0,0,1243,13,34,315423883.1996918,0.46650016666665717,1463,96091,2023-04-27T19:52:18.844810,0
-10.9,1300,9,0,1,1252,13,35,315843099.35569763,0.39984282399999105,1340,97431,2023-04-27T19:52:23.986934,0
10.1,1310,9,1,0,1261,14,35,314643875.3604889,0.333169497333324,1315,98746,2023-04-27T19:52:29.368952,0
-1,1320,10,0,0,1271,14,35,310477273.4642029,0.2665001666666572,1386,80106,2023-04-27T19:52:34.089802,0
-10.9,1330,9,0,1,1280,14,36,314843369.72236633,0.19984448900000404,983,81089,2023-04-27T19:52:38.824167,0
-1,1340,10,0,0,1290,14,36,306270351.4099121,0.13316683333333768,1517,82606,2023-04-27T19:52:43.736299,0
-1,1350,10,0,0,1300,14,36,310598877.66838074,0.06650016666666408,1179,83785,2023-04-27T19:52:48.683245,0
-10.9,1360,9,0,1,1309,14,37,315670551.06163025,0.05,1075,84860,2023-04-27T19:52:53.604172,0
-1,1370,10,0,0,1319,14,37,305767889.02282715,0.05,1027,85887,2023-04-27T19:52:58.542890,0
-1,1380,10,0,0,1329,14,37,313229421.377182,0.05,1322,87209,2023-04-27T19:53:03.574609,0
-10.9,1390,9,0,1,1338,14,38,312615778.4461975,0.05,1336,88545,2023-04-27T19:53:08.415896,0
-1,1400,10,0,0,1348,14,38,311027756.9293976,0.05,1039,89584,2023-04-27T19:53:13.359129,0
-1,1410,10,0,0,1358,14,38,302914342.880249,0.05,1150,90734,2023-04-27T19:53:18.210128,0
-1,1420,10,0,0,1368,14,38,300998331.30836487,0.05,1120,91854,2023-04-27T19:53:23.148402,0
-1,1430,10,0,0,1378,14,38,302438861.1316681,0.05,1029,92883,2023-04-27T19:53:28.194310,0
-10.9,1440,9,0,1,1387,14,39,314418195.4860687,0.05,982,93865,2023-04-27T19:53:33.148901,0
-1,1450,10,0,0,1397,14,39,310863584.28001404,0.05,1061,94926,2023-04-27T19:53:38.159075,0
-1,1460,10,0,0,1407,14,39,309500344.99168396,0.05,1187,96113,2023-04-27T19:53:43.098951,0
-1,1470,10,0,0,1417,14,39,303629786.9682312,0.05,1269,97382,2023-04-27T19:53:47.990945,0
-1,1480,10,0,0,1427,14,39,314550606.01234436,0.05,1088,98470,2023-04-27T19:53:52.896427,0
10.1,1490,9,1,0,1436,15,39,312857606.4109802,0.05,1059,99529,2023-04-27T19:53:57.662383,0
-1,1500,10,0,0,1446,15,39,315933172.7027893,0.05,943,80378,2023-04-27T19:54:02.709905,0
-1,1510,10,0,0,1456,15,39,148344855.3085327,0.9998334999999905,1588,81966,2023-04-27T19:54:06.717725,0
-1,1520,10,0,0,1466,15,39,148503429.2936325,0.9331668333333238,1586,83552,2023-04-27T19:54:10.768220,0
-1,1530,10,0,0,1476,15,39,143406262.3977661,0.8665001666666572,1591,85143,2023-04-27T19:54:14.903325,0
-1,1540,10,0,0,1486,15,39,147238391.63780212,0.7998334999999905,1545,86688,2023-04-27T19:54:19.153786,0
-1,1550,10,0,0,1496,15,39,140498744.84539032,0.7331668333333239,1762,88450,2023-04-27T19:54:23.470838,0
-1,1560,10,0,0,1506,15,39,145857848.5250473,0.6665001666666572,1533,89983,2023-04-27T19:54:27.780545,0
-1,1570,10,0,0,1516,15,39,141997110.247612,0.5998334999999905,1497,91480,2023-04-27T19:54:32.215954,0
-1,1580,10,0,0,1526,15,39,141516789.7939682,0.5331668333333238,1479,92959,2023-04-27T19:54:37.094308,0
-1,1590,10,0,0,1536,15,39,140178370.47576904,0.46650016666665717,1470,94429,2023-04-27T19:54:42.152605,0
0.2,1600,8,1,1,1544,16,40,140424094.79618073,0.39984781899999133,1136,95565,2023-04-27T19:54:46.948105,0
-1,1610,10,0,0,1554,16,40,141710799.3364334,0.33316683333332386,1288,96853,2023-04-27T19:54:52.015291,0
10.1,1620,9,1,0,1563,17,40,143486806.1542511,0.2665104896666578,1102,97955,2023-04-27T19:54:57.072396,0
-1,1630,10,0,0,1573,17,40,139635486.00673676,0.19983350000000433,1226,99181,2023-04-27T19:55:02.182116,0
-1,1640,10,0,0,1583,17,40,143584008.81290436,0.13316683333333768,1367,80439,2023-04-27T19:55:07.010577,0
-1,1650,10,0,0,1593,17,40,132821967.60177612,0.06650016666666408,998,81437,2023-04-27T19:55:11.886535,0
-1,1660,10,0,0,1603,17,40,131765857.93495178,0,1180,82617,2023-04-27T19:55:16.819730,0
-1,1670,10,0,0,1613,17,40,132290416.95594788,0,1027,83644,2023-04-27T19:55:21.721890,0
-1,1680,10,0,0,1623,17,40,132609786.39125824,0,1151,84795,2023-04-27T19:55:26.662099,0
-1,1690,10,0,0,1633,17,40,132998178.60126495,0,998,85793,2023-04-27T19:55:31.552726,0
-1,1700,10,0,0,1643,17,40,130735865.23532867,0,1063,86856,2023-04-27T19:55:36.396432,0
10.1,1710,9,1,0,1652,18,40,133726347.08881378,0,940,87796,2023-04-27T19:55:41.395741,0
-1,1720,10,0,0,1662,18,40,131825178.2655716,0,993,88789,2023-04-27T19:55:46.334121,0
-1,1730,10,0,0,1672,18,40,129551065.56415558,0,917,89706,2023-04-27T19:55:51.216563,0
-1,1740,10,0,0,1682,18,40,130492693.18580627,0,1048,90754,2023-04-27T19:55:56.270284,0
-1,1750,10,0,0,1692,18,40,127263787.98484802,0,984,91738,2023-04-27T19:56:01.399494,0
-10.9,1760,9,0,1,1701,18,41,132699075.34122467,0,1026,92764,2023-04-27T19:56:06.351993,0
-1,1770,10,0,0,1711,18,41,129930515.28930664,0,965,93729,2023-04-27T19:56:11.253384,0
-10.9,1780,9,0,1,1720,18,42,131069836.02046967,0,932,94661,2023-04-27T19:56:16.049007,0
-1,1790,10,0,0,1730,18,42,131407997.60818481,0,1105,95766,2023-04-27T19:56:20.955820,0
-1,1800,10,0,0,1740,18,42,128039724.2307663,0,787,96553,2023-04-27T19:56:25.894527,0
-1,1810,10,0,0,1750,18,42,135849272.60875702,0.9998334999999905,1624,98177,2023-04-27T19:56:29.898258,0
-10.9,1820,9,0,1,1759,18,43,139947986.6027832,0.933169497333324,1610,99787,2023-04-27T19:56:34.050594,0
-1,1830,10,0,0,1769,18,43,132497918.009758,0.8665001666666572,1573,81088,2023-04-27T19:56:38.133816,0
-1,1840,10,0,0,1779,18,43,137552370.429039,0.7998334999999905,1472,82560,2023-04-27T19:56:42.407829,0
-1,1850,10,0,0,1789,18,43,143981960.41584015,0.7331668333333239,1479,84039,2023-04-27T19:56:46.533459,0
-1,1860,10,0,0,1799,18,43,133671995.40138245,0.6665001666666572,1536,85575,2023-04-27T19:56:50.996171,0
-1,1870,10,0,0,1809,18,43,139639223.81401062,0.5998334999999905,1390,86965,2023-04-27T19:56:55.410067,0
-1,1880,10,0,0,1819,18,43,137100409.2693329,0.5331668333333238,1307,88272,2023-04-27T19:56:59.847258,0
-1,1890,10,0,0,1829,18,43,136341294.05021667,0.46650016666665717,1367,89639,2023-04-27T19:57:04.253858,0
-1,1900,10,0,0,1839,18,43,139743847.84698486,0.3998334999999905,1343,90982,2023-04-27T19:57:08.816084,0
-10.9,1910,9,0,1,1848,18,44,136930983.06655884,0.3331674993333239,1218,92200,2023-04-27T19:57:13.446910,0
10.1,1920,9,1,0,1857,19,44,133026056.28967285,0.2665154846666581,1208,93408,2023-04-27T19:57:18.056768,0
-1,1930,10,0,0,1867,19,44,134186872.24388123,0.19983350000000433,1137,94545,2023-04-27T19:57:22.791142,0
-1,1940,10,0,0,1877,19,44,130051344.63310242,0.13316683333333768,1173,95718,2023-04-27T19:57:27.621089,0
-10.9,1950,9,0,1,1886,19,45,130947583.9138031,0.06651315366666428,771,96489,2023-04-27T19:57:32.450372,0
-10.9,1960,9,0,1,1895,19,46,133492265.34366608,0.01,955,97444,2023-04-27T19:57:37.218259,0
-10.9,1970,9,0,1,1904,19,47,134420672.6551056,0.01,1074,98518,2023-04-27T19:57:42.080210,0
-10.9,1980,9,0,1,1913,19,48,134880016.4461136,0.01,885,99403,2023-04-27T19:57:47.618188,0
