r,g,d,w,l,td,tw,tl,l_,e,a,s,t,p
-10.9,1680,9,0,1,1618,25,37,26753261.536359787,0.05,1093,91168,2023-04-27T19:59:07.504547,0
-1,1690,10,0,0,1628,25,37,27143803.536891937,0.05,1047,92215,2023-04-27T19:59:12.021652,0
-1,1700,10,0,0,1638,25,37,27094991.356134415,0.05,1128,93343,2023-04-27T19:59:15.855822,0
-1,1710,10,0,0,1648,25,37,26603592.932224274,0.05,1190,94533,2023-04-27T19:59:20.364312,0
-1,1720,10,0,0,1658,25,37,26562989.950180054,0.05,1163,95696,2023-04-27T19:59:24.665957,0
-20.8,1730,8,0,2,1666,25,39,26810800.433158875,0.05,1194,96890,2023-04-27T19:59:28.890676,0
-1,1740,10,0,0,1676,25,39,26181079.59628105,0.05,1247,98137,2023-04-27T19:59:32.782292,0
-1,1750,10,0,0,1686,25,39,26792246.55032158,0.05,933,99070,2023-04-27T19:59:36.711634,0
-1,1760,10,0,0,1696,25,39,26863670.498132706,0.05,1074,80116,2023-04-27T19:59:40.851593,0
-1,1770,10,0,0,1706,25,39,26978067.010641098,0.05,1081,81197,2023-04-27T19:59:44.663128,0
-1,1780,10,0,0,1716,25,39,26924334.466457367,0.05,1063,82260,2023-04-27T19:59:48.708931,0
-1,1790,10,0,0,1726,25,39,26194812.804460526,0.05,1195,83455,2023-04-27T19:59:52.598375,0
-1,1800,10,0,0,1736,25,39,26302770.82324028,0.05,1248,84703,2023-04-27T19:59:56.785758,0
-1,1810,10,0,0,1746,25,39,28169543.44511032,0.9998334999999905,1613,86316,2023-04-27T19:59:59.891414,0
10.1,1820,9,1,0,1755,26,39,27421600.66962242,0.933170163333324,1525,87841,2023-04-27T20:00:03.012139,0
-1,1830,10,0,0,1765,26,39,27247841.06016159,0.8665001666666572,1661,89502,2023-04-27T20:00:06.164581,0
-1,1840,10,0,0,1775,26,39,27316128.462553024,0.7998334999999905,1600,91102,2023-04-27T20:00:09.802652,0
-1,1850,10,0,0,1785,26,39,27278904.169797897,0.7331668333333239,1504,92606,2023-04-27T20:00:13.331051,0
10.1,1860,9,1,0,1794,27,39,25886962.41378784,0.6665024976666574,1578,94184,2023-04-27T20:00:16.781856,0
-10.9,1870,9,0,1,1803,27,40,27278875.708580017,0.5998401599999909,1372,95556,2023-04-27T20:00:20.107500,0
